processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user,
bbsoscks#071,,1,0.0 %,11800 Kb,22124,1,0.3 %,16816 Kb,Sun Dec 26 10:29:35 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#072,,1,0.0 %,11792 Kb,22131,1,0.3 %,16816 Kb,Sun Dec 26 10:29:42 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#073,,1,0.0 %,11872 Kb,22123,1,0.3 %,16816 Kb,Sun Dec 26 10:29:35 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#074,,1,0.0 %,11872 Kb,22122,1,0.3 %,16816 Kb,Sun Dec 26 10:29:32 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#075,,1,0.0 %,11792 Kb,22138,1,0.3 %,16816 Kb,Sun Dec 26 10:29:55 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#076,,1,0.0 %,11624 Kb,22137,1,0.3 %,16816 Kb,Sun Dec 26 10:29:55 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#077,,1,0.0 %,11880 Kb,22161,1,0.3 %,16816 Kb,Sun Dec 26 10:30:24 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#078,,1,0.0 %,11880 Kb,22166,1,0.3 %,16816 Kb,Sun Dec 26 10:30:26 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#079,,1,0.0 %,11864 Kb,22162,1,0.3 %,16816 Kb,Sun Dec 26 10:30:25 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#080,,1,0.0 %,11880 Kb,22160,1,0.3 %,16816 Kb,Sun Dec 26 10:30:24 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#081,,1,0.0 %,11688 Kb,22172,1,0.3 %,16816 Kb,Sun Dec 26 10:30:34 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#082,,1,0.0 %,11672 Kb,22181,1,0.3 %,16816 Kb,Sun Dec 26 10:30:40 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#083,,1,0.0 %,11880 Kb,22175,1,0.3 %,16816 Kb,Sun Dec 26 10:30:40 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#084,,1,0.0 %,11744 Kb,22171,1,0.3 %,16816 Kb,Sun Dec 26 10:30:31 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#085,,1,0.0 %,11792 Kb,22185,1,0.3 %,16816 Kb,Sun Dec 26 10:30:44 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#086,,1,0.0 %,11864 Kb,22191,1,0.3 %,16816 Kb,Sun Dec 26 10:30:54 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#087,,1,0.0 %,11808 Kb,22188,1,0.3 %,16816 Kb,Sun Dec 26 10:30:50 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#088,,1,0.0 %,11752 Kb,22192,1,0.3 %,16816 Kb,Sun Dec 26 10:30:55 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#089,,1,0.0 %,11792 Kb,22193,1,0.3 %,16816 Kb,Sun Dec 26 10:30:57 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#090,,1,0.0 %,11864 Kb,22198,1,0.3 %,16816 Kb,Sun Dec 26 10:31:07 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#091,,1,0.0 %,11944 Kb,22274,1,0.3 %,16816 Kb,Sun Dec 26 10:31:20 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
