GENEOS Status Report,
Monday 20 Jul 2015 17:36:05,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CNY,3924.4871,SSE COMPOSITE   ,3805.8106,-118.6765,3874.9681,7:10:4,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
601158.SS,CHONGQING WATER ,9.79,10.33,-10.02,6:59:59,Ok,RealTime,36432,1,
601166.SS,IND BANK        ,17.29,17.69,0.7,6:59:59,Ok,RealTime,59504,1,
601168.SS,WESTERN MINING  ,7.04,7.3,-9.97,6:59:59,Ok,RealTime,35152,1,
601169.SS,BEIJING BANK    ,12.93,13.11,2.05,7:0:0,Ok,RealTime,15984,1,
601177.SS,HANGZHOU GEARBOX,8.87,8.36,-9.95,6:59:55,Ok,RealTime,54720,1,
601179.SS,CN XD ELECTRIC  ,7.71,8.2,-10.04,6:59:59,Ok,RealTime,22656,1,
601186.SS,CN RAILWAY CONST,17.22,19.18,-1.32,6:59:59,Ok,RealTime,10512,1,
601188.SS,HTDC            ,5.08,5.04,-9.93,6:59:58,Ok,RealTime,20816,1,
601198.SS,DX SECURITIES   ,22.09,24.83,-9.98,6:59:59,Ok,RealTime,38544,1,
601199.SS,JIANGNAN WATER  ,,,,,Ok,RealTime,8512,1,
601208.SS,EM TECHNOLOGY   ,8.76,8.68,-9.97,6:59:58,Ok,RealTime,24224,1,
601211.SS,GUOTAI JUNAN SEC,27.34,31.32,-10.01,6:59:59,Ok,RealTime,63632,1,
601216.SS,JUNZHENG ENE&CHE,10.38,17.19,-9.97,6:59:57,Ok,RealTime,45696,1,
601218.SS,SINOJIT TECH    ,7.06,6.48,-9.95,6:59:53,Ok,RealTime,35040,1,
601222.SS,LINYANG ELECTRO ,31.77,,2.29,6:59:53,Ok,RealTime,36336,1,
601225.SS,SHAANXI COAL    ,6.24,6.81,-9.96,6:59:55,Ok,RealTime,65504,1,
601226.SS,HUADIAN ORD A   ,14.13,15.05,-10,6:59:56,Ok,RealTime,30688,1,
601231.SS,UNIVERSAL SCIENT,14.49,14.91,-10,6:59:49,Ok,RealTime,10288,1,
601233.SS,TONGKUN GROUP   ,14.57,13.57,-10.01,6:59:55,Ok,RealTime,4064,1,
601238.SS,GUANGZHOU AUTO  ,16.14,14.84,1.7,6:59:59,Ok,RealTime,55248,1,
601258.SS,PANGDA AUTOMOBIL,4.4,,-4.97,6:59:59,Ok,RealTime,7280,1,
601288.SS,AGRI BANK OF CN ,3.8,3.95,2.43,6:59:59,Ok,RealTime,58016,1,
601311.SS,CAMEL GROUP     ,25.38,,-10,6:59:17,Ok,RealTime,9168,1,
601313.SS,SJEC CORPORATION,15.6,14.87,-9.98,6:59:31,Ok,RealTime,51648,1,
601318.SS,CN PING AN      ,79.03,82.19,0.51,6:59:59,Ok,RealTime,272,1,
601328.SS,BANK OF COMM    ,8.13,8.51,1.5,6:59:59,Ok,RealTime,9264,1,
601333.SS,GUANGSHEN RAIL  ,5.22,5.37,-10,6:59:59,Ok,RealTime,48832,1,
601336.SS,NEW CN INSURANCE,49.54,55.82,-4.09,6:59:58,Ok,RealTime,6976,1,
601339.SS,BROS EASTERN    ,6.82,6.26,-10.03,6:59:59,Ok,RealTime,31136,1,
601368.SS,GXNN WATERWORKS ,15.28,14.04,-10.01,6:59:54,Ok,RealTime,50032,1,
601369.SS,SHAANGU POWER   ,8.9,9.2,-10.01,6:59:55,Ok,RealTime,31920,1,
601377.SS,INDUSTRIAL SEC  ,10.95,13.01,-10.02,6:59:59,Ok,RealTime,28752,1,
601388.SS,YECHIU METAL REC,17.52,,-10.02,6:59:59,Ok,RealTime,16096,1,
601390.SS,CN RAILWAY GRP  ,13.6,14.97,-2.58,6:59:59,Ok,RealTime,60368,1,
601398.SS,ICBC            ,5.28,5.54,2.52,6:59:59,Ok,RealTime,30288,1,
601515.SS,DONGFENG PRINT  ,14.35,,-0.55,6:59:59,Ok,RealTime,14368,1,
601518.SS,JLEC            ,5.09,4.92,-9.91,6:59:59,Ok,RealTime,9904,1,
601519.SS,GREAT WISDOM    ,13.24,12.14,-9.87,6:59:59,Ok,RealTime,1552,1,
601555.SS,SOOCHOW SECURITE,16.9,19.25,-10.01,6:59:58,Ok,RealTime,1424,1,
601558.SS,SINOVEL WIND GRP,6.36,6.86,-10.04,6:59:59,Ok,RealTime,7648,1,
601566.SS,JOEONE          ,18.25,,6.79,6:59:57,Ok,RealTime,8704,1,
601567.SS,SANXING ELECTRIC,14.03,13.2,-10.01,6:59:52,Ok,RealTime,45344,1,
601579.SS,KUAIJISHAN ORD A,14.67,14.94,-10,6:59:45,Ok,RealTime,51728,1,
601588.SS,BJ NORTH STAR   ,5.53,5.78,-9.93,6:59:58,Ok,RealTime,43520,1,
601599.SS,LUGANG SCIENCE  ,11.06,,0,6:59:59,Ok,RealTime,56240,1,
601600.SS,ALUMINIUM CORP  ,5.87,6.41,-9.97,6:59:59,Ok,RealTime,22352,1,
601601.SS,CHINA PACIFIC   ,29.29,31.15,0.51,6:59:59,Ok,RealTime,3632,1,
601607.SS,SHANGHAI PHARM  ,19.43,19.81,-9.25,6:59:57,Ok,RealTime,42832,1,
601608.SS,CITIC HEAVY INDU,12.94,,-10.01,6:59:59,Ok,RealTime,26816,1,
601616.SS,GUANGDIAN ELECTR,6.22,5.71,-9.99,6:59:46,Ok,RealTime,48,1,
601618.SS,METALLURGICAL CN,5.96,6.62,-9.97,6:59:59,Ok,RealTime,23248,1,
601628.SS,CHINA LIFE      ,33.72,36.09,1.57,6:59:59,Ok,RealTime,62800,1,
601633.SS,GREAT WALL MOTOR,36.36,,-10,6:59:36,Ok,RealTime,37872,1,
601636.SS,KIBING GROUP    ,7.83,,-3.33,6:59:59,Ok,RealTime,27152,1,
601666.SS,TIANAN COAL     ,5.53,5.94,-9.93,6:59:59,Ok,RealTime,10624,1,
601668.SS,CHINA STATE CON ,7.87,8.7,-1.99,6:59:59,Ok,RealTime,45808,1,
601669.SS,CN POWER CONSTRU,9.33,10.23,-9.86,6:59:59,Ok,RealTime,21296,1,
601677.SS,MINGTAI AL INDUS,12.46,12.67,-9.97,6:59:50,Ok,RealTime,61904,1,
601678.SS,BEFAR GROUP     ,7.61,7.93,-10.05,6:59:59,Ok,RealTime,46624,1,
601688.SS,HUATAI SECURITY ,21.48,24.47,-3.94,6:59:59,Ok,RealTime,48224,1,
601689.SS,NB TUOPU GROUP  ,23.8,24.95,-9.98,6:59:36,Ok,RealTime,19776,1,
601699.SS,LU'AN ENV ENERGY,6.95,7.41,-9.97,6:59:59,Ok,RealTime,7216,1,
601700.SS,FENGFAN POWER   ,8.16,,-1.09,6:59:59,Ok,RealTime,29024,1,
601717.SS,ZZ MINING MACH  ,7.77,7.48,-9.97,6:59:55,Ok,RealTime,47312,1,
601718.SS,JIHUA GROUP     ,11.19,12.22,-9.98,6:59:52,Ok,RealTime,21712,1,
601727.SS,SH ELECTRIC     ,12.23,12.51,-10.01,6:59:58,Ok,RealTime,33696,1,
601766.SS,CRRC            ,17.11,19.46,-5,7:0:0,Ok,RealTime,60256,1,
601777.SS,LIFAN INDUSTRY  ,11.92,,-5.99,6:59:59,Ok,RealTime,41472,1,
601788.SS,EVERBRIGHT      ,20.99,24.3,-9.45,6:59:59,Ok,RealTime,49328,1,
601789.SS,NINGBO CONSTRUCT,,,,,Ok,RealTime,2000,1,
601798.SS,LANPEC TECH     ,11.96,12.29,-10.01,6:59:51,Ok,RealTime,4400,1,
601799.SS,XINGYU LIGHTING ,28.49,,-2.46,6:59:56,Ok,RealTime,24400,1,
601800.SS,CN COMMU CONS   ,16.1,18.35,-1.89,6:59:59,Ok,RealTime,29392,1,
601801.SS,XINHUA MEDIA    ,23,21.12,-9.98,6:59:21,Ok,RealTime,4928,1,
601808.SS,CHINA OILFIELD  ,17.52,20.1,-10.02,6:59:59,Ok,RealTime,24048,1,
601818.SS,EVERBRIGHT BANK ,5.52,5.8,2.79,6:59:59,Ok,RealTime,8704,4,
601857.SS,PETROCHINA      ,13.52,13.11,10.01,6:59:59,Ok,RealTime,3808,1,
601866.SS,CHINA SHIPPING  ,6.31,6.73,-9.99,6:59:59,Ok,RealTime,4160,1,
601872.SS,MERCHANTS SHIP  ,7.25,8.26,-9.94,6:59:59,Ok,RealTime,7904,1,
601877.SS,CHINT ELECTRICS ,,,,,Ok,RealTime,2000,1,
601880.SS,DALIAN PORT     ,5.79,6,-9.95,6:59:59,Ok,RealTime,8704,1,
601886.SS,JANGHO CURTAIN  ,10.75,,7.18,6:59:58,Ok,RealTime,51984,1,
601888.SS,CITS            ,55.98,58.93,-10,6:59:56,Ok,RealTime,63344,1,
601890.SS,ASIAN STAR      ,8.81,,0.57,6:59:59,Ok,RealTime,56400,1,
601898.SS,CN COAL ENERGY  ,7.4,8.34,-9.98,6:59:59,Ok,RealTime,51120,1,
601899.SS,ZIJIN MINING    ,4.12,4.37,-9.85,6:59:59,Ok,RealTime,640,1,
601901.SS,FOUNDER SECURITI,10.3,11.73,-6.53,6:59:59,Ok,RealTime,51664,1,
601908.SS,JINGYUNTONG TECH,18.5,,-10.02,6:59:55,Ok,RealTime,63904,1,
601918.SS,XINJI ENERGY    ,9.23,9.91,-9.95,6:59:57,Ok,RealTime,63728,1,
601919.SS,CHINA COSCO     ,8.04,8.59,-9.97,6:59:59,Ok,RealTime,45056,1,
601928.SS,PHOENIX PUBL&MED,12.71,,1.6,6:59:59,Ok,RealTime,3936,1,
601929.SS,JISHI MEDIA     ,12.88,,-8.33,6:59:59,Ok,RealTime,47248,1,
601933.SS,YONGHUI STORES  ,9.69,9.69,-9.35,6:59:59,Ok,RealTime,29856,1,
601939.SS,CONSTR BANK     ,6.76,7.13,0.9,6:59:59,Ok,RealTime,8896,1,
601958.SS,JINDUICHENG     ,8.6,9.05,-9.95,6:59:55,Ok,RealTime,39120,1,
601965.SS,CN AUTO ENGINEER,10.19,10.77,-9.98,6:59:57,Ok,RealTime,34608,1,
601968.SS,BAOSTEEL PACKAG ,11.68,10.73,-10.02,6:59:53,Ok,RealTime,46016,1,
601969.SS,HN MINING ORD A ,15.95,17.31,-9.99,6:59:56,Ok,RealTime,48288,1,
601985.SS,CN NUCLEAR POWER,10.37,9.92,-9.98,6:59:59,Ok,RealTime,6672,1,
601988.SS,BANK OF CHINA   ,5.37,5.54,2.68,6:59:59,Ok,RealTime,26368,1,
601989.SS,CN SHIPBUILDING ,10.66,10.32,-7.47,6:59:59,Ok,RealTime,37360,1,
601991.SS,DATANG POWER    ,6.44,7.06,-9.93,6:59:59,Ok,RealTime,13008,1,
601992.SS,BBMG CORP       ,8.52,9.09,-10.03,6:59:59,Ok,RealTime,22192,1,
601996.SS,FENGLIN WOOD    ,8.59,9.27,-9.96,6:59:54,Ok,RealTime,19904,1,
601998.SS,CN CITIC BANK   ,10.28,9.78,3.11,6:59:59,Ok,RealTime,44576,1,
601999.SS,NORTHERN UNITED ,10.49,10.13,-9.96,6:59:22,Ok,RealTime,31840,1,
603000.SS,PEOPLE.CN       ,24.2,45.33,-10,6:59:50,Ok,RealTime,6176,1,
603001.SS,AOKANG SHOES    ,24,,-6.43,6:59:54,Ok,RealTime,11216,1,
603002.SS,EPOXY BASE ELECT,8.6,8.43,-10.04,6:59:51,Ok,RealTime,41360,1,
603003.SS,LONYER FUELS    ,21.31,,-10.01,6:58:43,Ok,RealTime,11424,1,
603005.SS,CHINA WAFER     ,42.4,43.12,-10,6:59:48,Ok,RealTime,35856,1,
603006.SS,LIANMING MACHINE,31.75,33.2,-10.01,6:59:7,Ok,RealTime,31296,1,
603008.SS,XILINMEN FURNITU,14.92,13.7,-10.01,6:59:32,Ok,RealTime,27104,1,
603009.SS,BEITE TECHNOLOGY,25.75,,-3.81,6:59:58,Ok,RealTime,55232,1,
603010.SS,WANSHENG ORD A  ,31,,6.93,6:59:49,Ok,RealTime,18320,1,
603011.SS,HF MACH ORD A   ,,,,,Ok,RealTime,1296,1,
603012.SS,CHUANGLI GROUP  ,30.13,,-10.01,6:59:41,Ok,RealTime,62288,1,
603015.SS,NB TECHMATION   ,25.72,23.62,-10.01,6:59:34,Ok,RealTime,20448,1,
603017.SS,SZ PARK DESIGN  ,,,,,Ok,RealTime,1360,1,
603018.SS,JS DESIGN ORD A ,67.9,63.17,-3.03,6:59:58,Ok,RealTime,38000,1,
603019.SS,DAWN INFO ORD A ,71.4,57.39,2.82,6:59:58,Ok,RealTime,18400,1,
603020.SS,APPLE FLAVOR    ,43.8,44.09,-10.01,6:59:55,Ok,RealTime,10912,1,
603021.SS,SHD HUAPENG     ,35.1,32.23,-10,6:58:47,Ok,RealTime,52752,1,
603022.SS,XINTONGLIAN PACK,35.05,,-4.65,6:59:58,Ok,RealTime,36224,1,
603023.SS,VITI EELECTRONIC,40.94,37.59,-10,6:59:57,Ok,RealTime,24448,1,
603025.SS,BJ DAHAO TECHNO ,35.93,,-9.99,6:59:51,Ok,RealTime,40080,1,
603026.SS,SHIDA SHENGHUA  ,18.9,18.26,-10,6:59:7,Ok,RealTime,56128,1,
603030.SS,TRENDZONE GROUP ,26.37,,7.54,6:59:59,Ok,RealTime,39184,1,
603066.SS,INFORM STORAGE  ,28.58,26.24,-9.98,6:59:51,Ok,RealTime,43952,1,
603077.SS,HEBANG CORP     ,18.44,,-9.56,6:59:59,Ok,RealTime,63120,1,
603085.SS,TIANCHENG CONTRO,29.89,22.45,10.01,6:59:49,Ok,RealTime,7568,1,
603088.SS,NB JD MACH ORD A,34.85,34.02,-9.99,6:56:46,Ok,RealTime,60448,1,
603099.SS,CHBAISHAN ORD A ,14.93,13.84,-10.01,6:59:51,Ok,RealTime,52608,1,
603100.SS,CHUANYI ORD A   ,17.09,15.77,-10.01,6:59:40,Ok,RealTime,61296,1,
603108.SS,RUNDA MEDICAL TE,63.4,,-0.38,6:59:56,Ok,RealTime,43520,1,
603111.SS,KANGNI ORD A    ,,,,,Ok,RealTime,1264,1,
603116.SS,RED DRAGONFLY   ,40.28,36.98,-9.99,6:59:47,Ok,RealTime,36288,1,
603117.SS,WANLIN MODERN GP,17.95,16.48,-9.98,6:59:55,Ok,RealTime,29264,1,
603118.SS,GONGJIN ELECTR  ,42.74,,-10,6:59:21,Ok,RealTime,5744,1,
603123.SS,CUIWEI TOWER    ,10,9.56,-9.99,6:59:47,Ok,RealTime,58080,1,
603126.SS,SINOMA ORD A    ,12.28,11.84,-9.97,6:59:59,Ok,RealTime,48880,1,
603128.SS,CTS LOGISTICS   ,8.31,7.63,-9.97,6:59:58,Ok,RealTime,59168,1,
603158.SS,TENGLONG AUTO   ,49.57,,-10,6:58:50,Ok,RealTime,49328,1,
603166.SS,GL FUDA ORD A   ,36.65,43.57,-6.43,6:59:59,Ok,RealTime,19600,1,
603167.SS,BOHAI FERRY     ,11.16,10.9,-10,6:59:57,Ok,RealTime,63824,1,
603168.SS,SHAPUAISI PHARMA,53.61,55.87,-10.01,6:59:28,Ok,RealTime,54800,1,
603169.SS,LS HEAVY ORD A  ,15.27,15.21,-10.02,6:59:54,Ok,RealTime,11792,1,
603188.SS,YABANG ORD A    ,28.34,30.4,-10,6:59:55,Ok,RealTime,1168,1,
603198.SS,YINGJIA DISTILLE,26.11,26.79,-10,6:59:56,Ok,RealTime,19696,1,
603199.SS,JIUHUASHAN TOURI,52.18,54.37,-5.14,6:59:59,Ok,RealTime,20192,1,
603222.SS,CHIMIN PHARMACE ,23.58,21.65,-10,6:59:32,Ok,RealTime,5712,1,
603223.SS,HENGTONG LOGIST ,24.52,21,-3.5,6:59:55,Ok,RealTime,31744,1,
603227.SS,XUEFENG SCITECH ,19.24,17.67,-10.01,6:59:33,Ok,RealTime,16512,1,
603268.SS,SONGFA CERAMICS ,30.65,28.15,-9.99,6:59:58,Ok,RealTime,18560,1,
603288.SS,FOSHAN HAITIAN  ,31.68,35.9,-7.93,6:59:59,Ok,RealTime,35104,1,
603299.SS,JINGSHEN CHEMICA,,,,,Ok,RealTime,512,1,
603300.SS,HUATIE CONS TECH,20.75,20.34,-9.98,6:59:54,Ok,RealTime,64240,1,
603306.SS,HMT TECH ORD A  ,34.6,34.33,-9.99,6:58:22,Ok,RealTime,31696,1,
603308.SS,YINGLIU ELECTR  ,21.75,24.08,-10.01,6:59:37,Ok,RealTime,25296,1,
603309.SS,WELL LEAD MEDICA,53.38,49.02,-10,6:59:54,Ok,RealTime,55152,1,
603311.SS,GOLDENSEA       ,22.48,21.7,-10.01,6:58:34,Ok,RealTime,55120,1,
603315.SS,LN FU AN HEAVY  ,39.5,39.64,-10,6:58:24,Ok,RealTime,1024,1,
603318.SS,LONGYUN ADVERTIS,53.42,,-10.01,6:59:59,Ok,RealTime,33040,1,
603328.SS,ELLINGTON ELEC  ,25.23,26.53,-9.99,6:59:50,Ok,RealTime,39088,1,
603333.SS,STAR CABLE      ,7.23,,-5.49,6:59:59,Ok,RealTime,54176,1,
603338.SS,ZHEJIANG DINGLI ,125.27,,-10,6:58:36,Ok,RealTime,39488,1,
603355.SS,KINGCLEAN ELECTR,43.26,39.79,-10.01,6:59:56,Ok,RealTime,27424,1,
603366.SS,SUNRAIN ENERGY  ,11.08,11.24,-9.99,6:59:56,Ok,RealTime,43776,1,
603368.SS,GXLZ PHARM ORD A,67.42,,1.34,6:59:58,Ok,RealTime,352,1,
603369.SS,KINGS LUCK      ,35.27,,-10,6:58:18,Ok,RealTime,16944,1,
603398.SS,BANBAO          ,,,,,Ok,RealTime,544,1,
603399.SS,DRAGON MOLYBDENU,10.87,11.89,-10.02,6:59:39,Ok,RealTime,22752,1,
603456.SS,JZH PHARMA ORD A,51.52,,-9.99,6:59:59,Ok,RealTime,16880,1,
603508.SS,THINKER AUTO EQU,,,,,Ok,RealTime,528,1,
603518.SS,VGRASS FA ORD A ,,,,,Ok,RealTime,1280,1,
603519.SS,LIBA ENTERPRISE ,47.36,54.66,-10,6:53:17,Ok,RealTime,31264,1,
603555.SS,GUIRENNIAO      ,34.39,,-10,6:59:16,Ok,RealTime,44336,1,
603558.SS,JASAN HOLDING   ,36.62,,10,6:59:4,Ok,RealTime,54768,1,
603566.SS,PULIKE BIOLOGICA,38.9,,-2.9,6:59:56,Ok,RealTime,19216,1,
603567.SS,HLJ ZBD PHARMACE,46.22,44.3,-10.01,6:59:44,Ok,RealTime,20672,1,
603568.SS,WEIMING ENVI PRO,32.24,32.89,-9.99,6:59:33,Ok,RealTime,18432,1,
603588.SS,GEOENVIRON ENGIN,62.53,51.19,0.95,6:59:56,Ok,RealTime,17312,1,
603589.SS,KOUZI DISTILLER ,32.46,29.81,-10.01,6:59:57,Ok,RealTime,58800,1,
603598.SS,INLY MEDIA      ,36.32,,-10.01,6:58:29,Ok,RealTime,35840,1,
603599.SS,GUANGXIN AGROCHE,39.32,38.42,-10,6:59:29,Ok,RealTime,9648,1,
603600.SS,UE FURNITURE    ,120.41,116.83,-2.61,6:59:59,Ok,RealTime,2928,1,
603601.SS,ZAISHENG TECH   ,21.87,,10.01,6:59:40,Ok,RealTime,6224,1,
603606.SS,ORIENT WIR ORD A,18.14,17.85,-9.98,6:59:51,Ok,RealTime,19728,1,
603609.SS,WELLHOPE ORD A  ,19.51,,-10.01,6:59:48,Ok,RealTime,320,1,
603611.SS,NOBLELIFT       ,28.64,,4.56,6:59:59,Ok,RealTime,38432,1,
603616.SS,HANJIAN HESHAN  ,24.09,22.13,-10.01,6:59:40,Ok,RealTime,3984,1,
603618.SS,HANGZHOU CABLE  ,22.34,,10,6:59:21,Ok,RealTime,12880,1,
603636.SS,LINEWELL SOFTWAR,43.38,,3.53,6:59:57,Ok,RealTime,15152,1,
603669.SS,LIONCO PHARMA   ,29.9,29.36,-9.99,6:59:55,Ok,RealTime,13744,1,
603678.SS,TORCH ELECTRON  ,79.91,,-10,6:59:51,Ok,RealTime,36160,1,
603686.SS,LONGMA ENVIRON  ,80.64,88.85,-10,6:58:59,Ok,RealTime,30480,1,
603688.SS,PACIFIC QUARTZ  ,18.08,,-10,6:59:36,Ok,RealTime,57680,1,
603696.SS,ANJI FOODSTUFF  ,,,,,Ok,RealTime,400,1,
603698.SS,CHANGZHENG ENGIN,32.45,29.84,-9.99,6:59:45,Ok,RealTime,11376,1,
603699.SS,NEWAY VALVE     ,20.78,22.43,-10,6:59:59,Ok,RealTime,33920,1,
603703.SS,SHENGYANG TECH  ,41.93,36.33,-4.62,6:59:53,Ok,RealTime,2048,1,
603718.SS,HILE BIO-TECHNO ,30.82,,1.02,6:59:55,Ok,RealTime,6416,1,
603729.SS,LONGYUN ADVERTIS,69.92,,0.68,6:59:49,Ok,RealTime,26992,1,
603766.SS,LONCIN MOTOR    ,25.58,27.9,-9.99,6:59:57,Ok,RealTime,6176,1,
603778.SS,QIANJING LANDSCA,,,,,Ok,RealTime,400,1,
603788.SS,NB GAOFA AUTO   ,31.7,27.32,-2.55,6:59:58,Ok,RealTime,49536,1,
603789.SS,XINGGUANG AGRIC ,35.03,32.16,-9.99,6:59:23,Ok,RealTime,41232,1,
603799.SS,HUAYOU COBALT   ,17,,-10.01,6:59:26,Ok,RealTime,44592,1,
603800.SS,DOUSON PRO EQUIP,,,,,Ok,RealTime,400,1,
603806.SS,HZ FIRST ORD A  ,49.99,,-6.42,6:59:52,Ok,RealTime,28736,1,
603808.SS,SHENZHEN ELLASS ,33.11,,10,6:58:46,Ok,RealTime,2720,1,
603818.SS,QUMEI FURNITURE ,25.09,,2.32,6:59:59,Ok,RealTime,26400,1,
603828.SS,KELIDA BUILDING ,34.49,35.59,-9.52,6:59:52,Ok,RealTime,19712,1,
603838.SS,GD SITONG GROUP ,27.82,20.9,10,6:59:56,Ok,RealTime,11280,1,
603866.SS,SHY TOLY BREAD  ,,,,,Ok,RealTime,400,1,
603869.SS,BEIBU GULF TOURI,20.27,17.47,-4.12,7:0:0,Ok,RealTime,46144,1,
603883.SS,LAOBAIXING PHARM,59.81,54.93,-10.01,6:59:48,Ok,RealTime,16640,1,
603885.SS,JUNEYAO AIRLINES,62.06,,-10.01,6:59:29,Ok,RealTime,35328,1,
603889.SS,XINAO TEXTILES  ,28.76,31.37,-10.01,6:59:43,Ok,RealTime,61648,1,
603898.SS,HOLIKE CREA HOME,,,,,Ok,RealTime,1312,1,
603899.SS,MG STATIONERY   ,41.71,38.3,-9.99,6:59:51,Ok,RealTime,11312,2,
603901.SS,YOUNGSUN INT EQU,45.9,43.84,-10,6:59:54,Ok,RealTime,57584,1,
603918.SS,GOLDEN BRIDGE IF,47.73,44.07,-9.99,6:57:36,Ok,RealTime,24624,1,
603936.SS,BOMIN ELECTRONIC,,,,,Ok,RealTime,560,1,
603939.SS,YIFENG PHARMACY ,,,,,Ok,RealTime,1104,1,
603968.SS,ACETIC ACID CHEM,49.33,48.38,-10,6:57:53,Ok,RealTime,45824,1,
603969.SS,SILVERY DRAGON  ,16.11,14.84,-10,6:59:51,Ok,RealTime,53344,1,
603979.SS,JCHX MINING MNG ,32.01,29.4,-10.01,6:59:48,Ok,RealTime,27344,1,
603988.SS,WX ELE MAC ORD A,51.24,59.3,-9.99,6:59:29,Ok,RealTime,7360,1,
603989.SS,AIHUA GROUP     ,46,,0.04,6:59:59,Ok,RealTime,40032,1,
603993.SS,CHINA MOLYBDENUM,13.46,12.35,-9.97,6:59:59,Ok,RealTime,8464,1,
603996.SS,CHUNGHSIN TECH  ,,,,,Ok,RealTime,400,1,
603997.SS,NB JIFENG AUTO  ,20.57,19.76,-10.02,6:59:52,Ok,RealTime,12400,1,
603998.SS,FANGSHENG ORD A ,36.74,41.88,-10,6:59:24,Ok,RealTime,48688,1,
603999.SS,DUZHE PUB MEDIA ,,,,,Ok,RealTime,464,1,
900901.SS,INESA ELECTRON-B,,,,,Ok,RealTime,1296,1,
900902.SS,SHIBEI HI-TECH-B,0.815,,-9.94,6:59:57,Ok,RealTime,208,1,
900903.SS,DAZHONG TRANS-B ,1.072,1.021,-9.99,6:59:45,Ok,RealTime,29648,1,
900904.SS,SHENQI B        ,1.565,1.585,-9.9,6:59:58,Ok,RealTime,43648,1,
900905.SS,LAO FENG XIANG-B,4.395,4.07,-5.65,6:59:52,Ok,RealTime,25568,1,
900906.SS,CH TEXT MACH-B  ,,,,,Ok,RealTime,40640,1,
900907.SS,SH DINGLI-B     ,,,,,Ok,RealTime,3312,1,
900908.SS,CHLOR ALKALI-B  ,0.607,0.625,-9.94,6:59:42,Ok,RealTime,39472,1,
900909.SS,DOUBLE COIN-B   ,0.975,1.015,-9.97,6:58:55,Ok,RealTime,59600,1,
900910.SS,SH HIGHLY-B     ,0.646,,-8.11,6:59:51,Ok,RealTime,60048,1,
900911.SS,JINQIAO EXPORT-B,1.604,1.665,-9.99,6:59:34,Ok,RealTime,61936,1,
900912.SS,WAI GAOQIAO-B   ,2,2.043,-9.34,6:59:36,Ok,RealTime,7072,1,
900913.SS,LIANHUA FIBRE-B ,1.488,1.582,-9.93,6:59:59,Ok,RealTime,18496,1,
900914.SS,JIN JIANG INV-B ,1.31,1.326,-9.97,6:59:16,Ok,RealTime,10400,1,
900915.SS,ZHONGLU-B       ,2.799,,2.9,6:59:54,Ok,RealTime,26064,1,
900916.SS,JINSHAN DEVP-B  ,0.765,0.794,-10,6:59:55,Ok,RealTime,20848,1,
900917.SS,HAIXIN GROUP-B  ,0.629,0.633,-10.01,6:59:59,Ok,RealTime,34032,1,
900918.SS,SYP GLASS-B     ,0.612,0.642,-10,6:59:24,Ok,RealTime,30960,1,
900919.SS,DAJIANG-B       ,0.552,,9.96,6:59:27,Ok,RealTime,63856,1,
900920.SS,DIESEL ENGINE-B ,0.756,0.784,-10,6:59:59,Ok,RealTime,3040,1,
900921.SS,DANHUA CHEM-B   ,0.602,,-9.75,6:59:21,Ok,RealTime,15520,1,
900922.SS,SANMAO ENTERPR-B,,,,,Ok,RealTime,1328,1,
900923.SS,BAILIAN-B       ,1.892,1.928,-8.02,6:59:29,Ok,RealTime,5904,1,
900924.SS,SGSB GROUP-B    ,0.896,0.897,-9.95,6:58:52,Ok,RealTime,57728,1,
900925.SS,SH MECHANICAL-B ,2.76,2.593,-5.8,6:59:31,Ok,RealTime,44496,1,
900926.SS,BAOSIGHT-B      ,3.431,,-9.04,6:59:41,Ok,RealTime,34272,1,
900927.SS,SH TRADING-B    ,0.734,0.74,-10.05,6:57:50,Ok,RealTime,128,1,
900928.SS,AUTOM INSTRUME-B,1.568,1.869,-9.99,6:56:39,Ok,RealTime,37968,1,
900929.SS,JINJIANG TRVL-B ,3.475,3.661,-10,6:56:23,Ok,RealTime,28960,1,
900930.SS,SH POTEVIO-B    ,1.027,1.019,-9.99,6:54:32,Ok,RealTime,30944,1,
900932.SS,LUJIAZUI DEVEL-B,2.839,2.888,-8.03,6:59:57,Ok,RealTime,17040,1,
900933.SS,HUA XIN CEMENT-B,0.824,0.867,-7.31,6:59:57,Ok,RealTime,10240,1,
900934.SS,JINJIANG HOTEL-B,,,,,Ok,RealTime,43168,1,
900935.SS,YOUNG SUN-B     ,1.946,1.788,-9.99,6:57:45,Ok,RealTime,35456,1,
900936.SS,EERDUOSI-B      ,0.85,0.882,-5.24,6:59:34,Ok,RealTime,57376,1,
900937.SS,HUADIAN ENER-B  ,0.562,0.576,-9.94,6:59:50,Ok,RealTime,4160,1,
900938.SS,TIC-B           ,0.575,0.667,-10.02,6:56:9,Ok,RealTime,15808,1,
900939.SS,SHANGHAI HUILI-B,1.105,1.242,-10.02,6:58:47,Ok,RealTime,27280,1,
900940.SS,GREATTOWN-B     ,,,,,Ok,RealTime,1504,1,
900941.SS,EASTERN COMMS-B ,0.747,0.878,-10,6:57:52,Ok,RealTime,112,1,
