GENEOS Status Report,
Monday 20 Jul 2015 17:36:05,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CNY,3924.4871,SSE COMPOSITE   ,3805.8106,-118.6765,3874.9681,7:10:4,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
600297.SS,MERRO PHARM     ,16.32,,-9.98,6:59:43,Ok,RealTime,24912,1,
600298.SS,ANGEL YEAST     ,33.63,30.02,-7.36,6:59:57,Ok,RealTime,27888,1,
600299.SS,STAR MATERIAL   ,15.68,,-6.33,6:59:59,Ok,RealTime,42240,1,
600300.SS,V V FOOD & BEVER,6.76,,-6.89,6:59:59,Ok,RealTime,58176,1,
600301.SS,NANNING CHEM    ,9.62,10.17,-5.03,6:58:45,Ok,RealTime,35856,1,
600302.SS,TYPICAL IND     ,7.84,7.87,-9.99,6:59:58,Ok,RealTime,64656,1,
600303.SS,LN SG AUTOMOTIVE,7.83,,-10,6:59:59,Ok,RealTime,800,1,
600305.SS,HENGSHUN VINEG  ,23.6,20.34,-4.1,6:59:54,Ok,RealTime,24576,1,
600306.SS,COMM CITY       ,11.98,11,-9.99,6:59:55,Ok,RealTime,45120,1,
600307.SS,HONGXING STEEL  ,4.46,,2.53,6:59:59,Ok,RealTime,48640,1,
600308.SS,HUATAI PAPER    ,5.84,5.34,-9.6,6:59:59,Ok,RealTime,38944,1,
600309.SS, WANHUA CHEMICAL,18.87,22.33,-9.97,6:59:59,Ok,RealTime,30096,1,
600310.SS,GUI DONG ELECT  ,34.34,,-9.99,6:59:53,Ok,RealTime,12608,1,
600311.SS,RONGHUA IND     ,6.49,6.36,-9.99,6:59:48,Ok,RealTime,37760,1,
600312.SS,PINGGAO ELEC    ,,,,,Ok,RealTime,2000,1,
600313.SS,ZHONGKEN AGRI   ,12.15,,-4.93,6:59:58,Ok,RealTime,35136,1,
600315.SS,SHANGHAI JAHWA  ,,,,,Ok,RealTime,24656,1,
600316.SS,HONGDU AVIA     ,24.21,22.23,-10,6:59:49,Ok,RealTime,44368,1,
600317.SS,YINGKOU PORT    ,5.37,5.89,-10.05,6:59:59,Ok,RealTime,52112,1,
600318.SS,CHAODONG CEM    ,17.75,15.75,-6.87,6:59:59,Ok,RealTime,45408,1,
