GENEOS Status Report,
Monday 20 Jul 2015 17:35:44,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,KRW,2059.23,KOSPI           ,2072.91,13.68,2068.38,9:3:30,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
005940.KS,NHINVES&SECUR   ,11600,11500,0,6:29:52,Ok,RealTime,38270,1,
005950.KS,ISU CHEMICAL    ,11450,10250,8.02,6:17:14,Ok,RealTime,5134,1,
005960.KS,DONGBU          ,,,,,Ok,RealTime,2590,1,
005980.KS,SUNGJEE CONST   ,5890,5490,6.13,6:10:48,Ok,RealTime,7470,1,
006040.KS,DONGWON IND     ,359500,336500,7.15,6:16:17,Ok,RealTime,24782,1,
006060.KS,HS IND          ,2500,2230,1.01,6:27:33,Ok,RealTime,6910,1,
006090.KS,SAJO OYANG      ,21900,18500,7.62,6:19:24,Ok,RealTime,52894,1,
006110.KS,SAM-A ALUMINIUM ,3705,3660,-0.94,6:0:30,Ok,RealTime,26974,1,
006120.KS,SK CHEMICALS    ,81900,77300,0,6:29:36,Ok,RealTime,60302,1,
006200.KS,KEC HOLDINGS    ,1225,1270,-5.77,6:10:0,Ok,RealTime,21998,1,
006220.KS,BANK OF CHE JU  ,12350,11350,-2.37,6:18:31,Ok,RealTime,4494,1,
006260.KS,LS              ,44450,44200,1.72,6:25:38,Ok,RealTime,12558,1,
006280.KS,GREEN CROSS     ,242500,233500,-0.41,6:16:28,Ok,RealTime,44734,1,
006340.KS,DAEWON CABLE    ,2200,2015,-0.9,6:29:6,Ok,RealTime,3806,1,
006360.KS,GS CONST        ,29850,26800,4.92,6:28:12,Ok,RealTime,9936,1,
006370.KS,DAEGU DEPT STORE,15400,15350,0,6:29:56,Ok,RealTime,1342,1,
006380.KS,CAPRO CORP      ,3150,2950,1.29,6:22:25,Ok,RealTime,14910,1,
006390.KS,HYUNDAI CEMENT  ,23300,16200,29.81,6:25:41,Ok,RealTime,30030,1,
006400.KS,SAMSUNG SDI     ,109000,108500,-0.46,6:26:38,Ok,RealTime,30206,1,
006490.KS,CNPLOEN         ,1635,1625,-3.82,6:12:33,Ok,RealTime,1534,1,
