GENEOS Status Report,
Monday 20 Jul 2015 17:36:18,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,TWD,9041.76,TAIWAN WEIGHTED ,9054.2,12.44,9063.54,5:33:20,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
2206.TW,SANYANG INDUSTRY,23.05,22.9,-1.91,,Ok,RealTime,41728,1,
2207.TW,HOTAI MOTOR     ,417.5,409.5,1.46,,Ok,RealTime,49744,1,
2208.TW,CSBC CORP       ,14.55,14.5,-0.34,,Ok,RealTime,24736,1,
2227.TW,YULON NISSAN    ,302,310,-1.63,,Ok,RealTime,31296,1,
2228.TW,IRON FORCE      ,155,137,4.73,,Ok,RealTime,13552,1,
2231.TW,CUB ELEC        ,364.5,362,0.14,,Ok,RealTime,48784,1,
2301.TW,LITE-ON TECH    ,35.95,34.95,1.13,,Ok,RealTime,56880,2,
2302.TW,RECTRON         ,7.02,7.12,-1.27,,Ok,RealTime,14032,1,
2303.TW,UNITED MICRO    ,12.2,12.45,0.41,,Ok,RealTime,36336,1,
2305.TW,MICROTEK INTL   ,7.12,6.65,-0.56,1:3:14,Ok,RealTime,18128,1,
2308.TW,DELTA ELECTRONIC,158,152.5,3.27,,Ok,RealTime,1808,1,
2311.TW,ASE             ,41.15,39.55,0.61,,Ok,RealTime,27920,1,
2312.TW,KINPO           ,10.75,10.95,-0.92,,Ok,RealTime,64800,1,
2313.TW,COMPEQ MFTG     ,19.9,18.6,2.05,,Ok,RealTime,13968,1,
2314.TW,MICROELECTRONICS,9.38,10,-4.77,3:14:31,Ok,RealTime,23088,1,
2316.TW,WUS PRINTED CIR ,24.55,25.1,-0.61,,Ok,RealTime,13568,1,
2317.TW,HON HAI         ,95.7,93.6,1.06,,Ok,RealTime,35136,1,
2323.TW,CMC MAGNETICS CP,3.41,3.41,-1.16,,Ok,RealTime,54032,1,
2324.TW,COMPAL ELECTRNCS,21.35,20.8,-4.04,,Ok,RealTime,21872,1,
2325.TW,SILICONWARE     ,43.7,44.65,-2.24,,Ok,RealTime,20688,1,
2327.TW,YAGEO CORP      ,46.4,46.65,0.65,,Ok,RealTime,26464,1,
2328.TW,PAN INTL IND    ,14.6,14.45,0.69,,Ok,RealTime,44576,1,
2329.TW,ORIENT SEMICON  ,12.35,11.3,0.82,,Ok,RealTime,60160,1,
2330.TW,TAIWAN SEMICONT ,138.5,137,-0.36,,Ok,RealTime,36608,1,
2331.TW,ELITEGROUP COMP ,24.4,30.5,0.83,,Ok,RealTime,25344,1,
2332.TW,D-LINK CORP     ,12.25,12.05,-0.81,,Ok,RealTime,50576,1,
2337.TW,MACRONIX        ,5.65,5.64,-0.35,,Ok,RealTime,7216,1,
2338.TW,TAIWAN MASK     ,8.44,8.94,-0.24,,Ok,RealTime,12288,1,
2340.TW,OPTO TECH       ,11.2,11.45,-1.75,,Ok,RealTime,39536,1,
2342.TW,MOSEL           ,2.76,2.98,-1.08,1:16:6,Ok,RealTime,12096,1,
2344.TW,WINBOND         ,6.73,6.73,-2.18,,Ok,RealTime,62544,1,
2345.TW,ACCTON          ,13.45,13.25,0.37,,Ok,RealTime,39968,1,
