Jobname,Status,Start time,End time,Time Taken (mins),Next start,Max Run,
uni.prd.linux.stopenginecheckersystem016.elp,SUCCESS,Mon Oct 15 02:14:05 2012,Mon Oct 15 02:14:12 2012,0.1,No Time,Not set,
uni.prd.linux.stopenginecheckersystem017.elp,SUCCESS,Mon Oct 15 02:14:05 2012,Mon Oct 15 02:14:12 2012,0.1,No Time,Not set,
uni.prd.linux.unibouncelb.box.elp,FAILURE,Mon Oct 15 02:00:35 2012,Mon Oct 15 04:16:10 2012,135.6,Mon Oct 15 18:45:00 2012,180,
uni.prd.linux.unibouncelb.scenario.box.elp,SUCCESS,Fri Oct 12 21:00:25 2012,Fri Oct 12 21:16:40 2012,16.2,Mon Oct 15 21:00:00 2012,180,
uni.prd.linux.waitforenginefinishbatch001.elp,SUCCESS,Mon Oct 15 02:04:31 2012,Mon Oct 15 02:04:33 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishbatch002.elp,SUCCESS,Mon Oct 15 02:04:30 2012,Mon Oct 15 02:04:31 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishbatch004.elp,SUCCESS,Mon Oct 15 02:04:30 2012,Mon Oct 15 02:04:32 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishbatch005.elp,SUCCESS,Mon Oct 15 02:21:01 2012,Mon Oct 15 02:21:02 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishbatch007.elp,SUCCESS,Mon Oct 15 02:21:01 2012,Mon Oct 15 02:21:02 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishbatch008.elp,SUCCESS,Mon Oct 15 02:21:02 2012,Mon Oct 15 02:21:03 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishhistoric001.elp,SUCCESS,Mon Oct 15 02:04:31 2012,Mon Oct 15 02:04:32 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishhistoric003.elp,SUCCESS,Mon Oct 15 02:04:30 2012,Mon Oct 15 02:04:31 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishhistoric005.elp,SUCCESS,Mon Oct 15 03:10:07 2012,Mon Oct 15 03:10:08 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishprecheck001.elp,SUCCESS,Mon Oct 15 02:04:31 2012,Mon Oct 15 02:04:32 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishprecheck002.elp,SUCCESS,Mon Oct 15 02:04:30 2012,Mon Oct 15 02:04:31 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishprecheck003.elp,SUCCESS,Mon Oct 15 02:40:52 2012,Mon Oct 15 02:40:53 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishprimary001.elp,SUCCESS,Mon Oct 15 02:04:31 2012,Mon Oct 15 02:04:32 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishprimary002.elp,SUCCESS,Mon Oct 15 02:04:30 2012,Mon Oct 15 02:04:31 2012,0.0,No Time,Not set,
uni.prd.linux.waitforenginefinishprimary004.elp,SUCCESS,Mon Oct 15 02:04:29 2012,Mon Oct 15 02:04:31 2012,0.0,No Time,Not set,
