Report Key,Report Group,Report Name,Report Type,Report Arguments,Report Launch Date,Report Duration In Seconds,Execution Status,Report Status,Nb Errors,Nb Warnings,Report Duration
<!>Data Availability,OK
<!>Nb Jobs Executed,207
<!>Nb Jobs No Results,64
<!>Nb Jobs Failed,1
<!>Nb Jobs Succeeded,270
<!>Nb Errors,1
<!>Nb Warnings,908
<!>Total Duration in Seconds,26403
<!>Total Duration,07:20:03
TRESOPAR_PnLMtmSecDay - jeu. 8 aoû13 - 04:54:17,PnL_EUROPE,TRESOPAR_PnLMtmSecDay,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:54:17,54,EXECUTED,SUCCEED,0,11,00:00:54
TRESOPAR_PnLMtmFutDay - jeu. 8 aoû13 - 04:55:53,PnL_EUROPE,TRESOPAR_PnLMtmFutDay,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:55:53,7,EXECUTED,SUCCEED,0,4,00:00:07
RISKATCHER_KONDOR - jeu. 8 aoû13 - 04:07:20,PnL_EUROPE,RISKATCHER_KONDOR,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:07:20,2989,EXECUTED,SUCCEED,0,16,00:49:49
EXPECTPAY - jeu. 8 aoû13 - 04:54:11,OTHER,EXPECTPAY,REPORT,07/06/2012; 07/06/2012; 07/06/2012; NULL; H6BI; NULL; NULL; No; No; No; No; No; Yes; Yes; No; No; No; No; No; No; No; No; No; No; NULL,jeu. 8 aoû13 - 04:54:11,351,EXECUTED,SUCCEED,0,0,00:05:51
HEDGE_IAS - jeu. 8 aoû13 - 05:01:39,OTHER,HEDGE_IAS,REPORT,07/06/2012; NULL; NULL; NULL; TRES_COURU; HEDGE_IAS,jeu. 8 aoû13 - 05:01:39,163,EXECUTED,SUCCEED,0,1,00:02:43
TRESOPAR_PnLMtmLDYear - jeu. 8 aoû13 - 04:36:48,PnL_EUROPE,TRESOPAR_PnLMtmLDYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 04:36:48,1686,EXECUTED,SUCCEED,0,1,00:28:06
COOK - jeu. 8 aoû13 - 05:05:53,OTHER,COOK,REPORT,07/06/2012; NULL; NULL; NULL; NULL; NULL; PER_BILAN; EUR; NULL; Yes; No; BATCH; Yes,jeu. 8 aoû13 - 05:05:53,17,EXECUTED,SUCCEED,0,0,00:00:17
TRESOPAR_PnLMtmSecYear - jeu. 8 aoû13 - 05:05:24,PnL_EUROPE,TRESOPAR_PnLMtmSecYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:05:24,67,EXECUTED,SUCCEED,0,50,00:01:07
TRESOPAR_PnLMtmFutDay - jeu. 8 aoû13 - 05:07:03,PnL_EUROPE,TRESOPAR_PnLMtmFutDay,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:07:03,7,EXECUTED,SUCCEED,0,4,00:00:07
LIVE_DEALS - jeu. 8 aoû13 - 05:07:12,OTHER,LIVE_DEALS,REPORT,07/06/2012; CASAPL; NULL,jeu. 8 aoû13 - 05:07:12,128,EXECUTED,SUCCEED,0,0,00:02:08
FIXING - jeu. 8 aoû13 - 05:07:52,OTHER,FIXING,REPORT,TRESO-PAR; NULL; NULL; NULL; 24/05/2012; 07/06/2012; No; Yes; No; No; No; No; No; No; No,jeu. 8 aoû13 - 05:07:52,92,EXECUTED,SUCCEED,0,0,00:01:32
JUSTPOCH - jeu. 8 aoû13 - 05:11:01,OTHER,JUSTPOCH,REPORT,07/06/2012; 30/04/2007; TRESO-PAR; NULL; NULL; NULL; No,jeu. 8 aoû13 - 05:11:01,52,EXECUTED,SUCCEED,0,0,00:00:52
DIFC_PnLMtmYear - jeu. 8 aoû13 - 05:19:45,OTHER,DIFC_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:45,57,EXECUTED,SUCCEED,0,2,00:00:57
DUBAI_PnLMtmYear - jeu. 8 aoû13 - 05:19:42,OTHER,DUBAI_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:42,63,EXECUTED,SUCCEED,0,0,00:01:03
JOHANNESBG_PnLMtmYear - jeu. 8 aoû13 - 05:19:37,OTHER,JOHANNESBG_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:37,70,EXECUTED,SUCCEED,0,0,00:01:10
KIEV_PnLMtmYear - jeu. 8 aoû13 - 05:19:51,OTHER,KIEV_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:51,60,EXECUTED,SUCCEED,0,0,00:01:00
BRATISLAVA_PnLMtmYear - jeu. 8 aoû13 - 05:19:55,OTHER,BRATISLAVA_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:55,60,EXECUTED,SUCCEED,0,0,00:01:00
CASALONDON_PnLMtmYear - jeu. 8 aoû13 - 05:19:49,OTHER,CASALONDON_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:49,70,EXECUTED,SUCCEED,0,0,00:01:10
PRAHA_PnLMtmYear - jeu. 8 aoû13 - 05:19:54,PnL_EUROPE,PRAHA_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:54,75,EXECUTED,SUCCEED,0,0,00:01:15
BUDAPEST_PnLMtmYear - jeu. 8 aoû13 - 05:19:47,OTHER,BUDAPEST_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:47,87,EXECUTED,SUCCEED,0,0,00:01:27
BAHRAIN_PnLMtmYear - jeu. 8 aoû13 - 05:19:47,OTHER,BAHRAIN_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:47,88,EXECUTED,SUCCEED,0,3,00:01:28
WARSAW_PnLMtmYear - jeu. 8 aoû13 - 05:19:55,OTHER,WARSAW_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:19:55,118,EXECUTED,SUCCEED,0,0,00:01:58
RUSSIA_PnLMtmYear - jeu. 8 aoû13 - 05:20:00,OTHER,RUSSIA_PnLMtmYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:20:00,125,EXECUTED,SUCCEED,0,0,00:02:05
