GENEOS Status Report,
Monday 20 Jul 2015 17:42:02,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.22,4.27,2109.01,15:3:13,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
DTV.OQ,DIRECTV         ,92.82,92.66,0.1727,15:2:48,Ok,RealTime,27504,4,
DUK.N,DUKE ENERGY     ,73.6,74.4,-0.271,15:3:6,Ok,RealTime,45280,3,
DVA.N,DVT HLTHCR PRTNR,80.03,79.36,-0.05,15:3:9,Ok,RealTime,29488,1,
DVN.N,DEVON ENERG     ,56.04,55.31,-0.1781,15:3:9,Ok,RealTime,13600,7,
EA.OQ,ELECTRONIC ART  ,72.75,72.25,0.692,15:2:39,Ok,RealTime,44640,7,
EBAY.OQ,EBAY INC        ,63.86,63.59,0.4246,15:3:6,Ok,RealTime,40576,4,
ECL.N,ECOLAB INC      ,115.38,113.05,0.5929,15:2:46,Ok,RealTime,47952,2,
ED.N,CONSOL EDISON   ,60.39,60.86,-0.0497,15:3:7,Ok,RealTime,63712,4,
EFX.N,EQUIFAX INC     ,98.3,98.61,-0.2638,15:0:54,Ok,RealTime,35024,1,
EIX.N,EDISON INTL     ,57.75,57.98,-0.3279,15:3:6,Ok,RealTime,18432,2,
EL.N,ESTEE LAUDER    ,89.48,88.85,0.3139,15:2:20,Ok,RealTime,41264,1,
EMC.N,EMC CORP        ,25.425,25.895,1.2142,15:2:30,Ok,RealTime,27872,5,
EMN.N,EASTMAN CHEM    ,79.36,77.29,0.1262,15:2:59,Ok,RealTime,14160,2,
EMR.N,EMERSON ELECTRIC,53.99,54.07,-0.3875,15:1:51,Ok,RealTime,18768,2,
ENDP.OQ,ENDO INTERNATION,85.63,85.5,0.152,15:2:41,Ok,RealTime,41840,3,
EOG.N,EOG RESOURCES   ,84.78,83.89,-0.3321,15:3:1,Ok,RealTime,38032,4,
EQIX.OQ,EQUINIX INC     ,262.26,261.07,0.4558,15:0:40,Ok,RealTime,6384,1,
EQR.N,EQ RESIDENT     ,74.77,75.47,-0.0535,15:2:37,Ok,RealTime,41840,4,
EQT.N,EQT CORPORATION ,78.62,76.66,0,15:3:5,Ok,RealTime,1056,5,
ES.N,EVERSOURCE ENRGY,47.46,47.02,0.3383,15:3:13,Ok,RealTime,20704,5,
ESRX.OQ,EXPRESS SCRIPTS ,91.23,91.36,-0.1423,15:2:52,Ok,RealTime,33600,1,
ESS.N,ESSEX PROP TR   ,222.46,224.29,0.2659,15:1:28,Ok,RealTime,2032,2,
ESV.N,ENSCO PLC CL A  ,20.67,20.47,-2.454,15:2:37,Ok,RealTime,22496,3,
ETFC.OQ,E*TRADE FINCL CP,29.77,29.61,0.5404,15:3:13,Ok,RealTime,11328,9,
ETN.N,EATON CORP      ,66.18,66.07,-0.3763,15:2:47,Ok,RealTime,17792,3,
ETR.N,ENTERGY CP      ,71.87,72.42,-0.581,15:3:6,Ok,RealTime,30288,7,
EW.N,EDWARDS LIFE    ,152.05,152.05,-0.1641,15:3:12,Ok,RealTime,18560,18,
EXC.N,EXELON CORP     ,32.65,32.6,-0.3662,15:3:7,Ok,RealTime,26064,8,
EXPD.OQ,EXPEDITORS      ,45.5,45.68,-0.394,15:2:58,Ok,RealTime,45616,1,
EXPE.OQ,EXPEDIA         ,107.75,107.26,0.4568,15:2:43,Ok,RealTime,11776,2,
F.N,FORD MOTOR CO   ,14.775,14.45,-0.2363,15:2:58,Ok,RealTime,22032,3,
FAST.OQ,FASTENAL CO     ,41.56,41.11,1.0946,15:2:54,Ok,RealTime,57856,2,
FB.OQ,FACEBOOK INC A  ,90.76,89.68,1.2043,15:3:11,Ok,RealTime,11136,13,
FCX.N,FREEPORTMCMORAN ,16.82,16.64,-1.6949,15:2:57,Ok,RealTime,21552,6,
FDX.N,FEDEX CORP      ,170.71,168.44,-0.3095,15:2:9,Ok,RealTime,33824,4,
FE.N,FIRSTENERGY     ,33.58,33.65,-0.119,15:3:2,Ok,RealTime,23120,6,
FFIV.OQ,F5 NETWORKS INC ,118.2,118.25,-0.0423,15:2:36,Ok,RealTime,62336,2,
FIS.N,FIDELITY NATL IN,64.35,63.97,0.2961,15:2:48,Ok,RealTime,48480,1,
FISV.OQ,FISERV INC      ,87.58,87.4,0.2059,15:2:37,Ok,RealTime,64672,3,
FITB.OQ,FIFTH THR BNCP  ,21.305,21.14,0.7805,15:2:45,Ok,RealTime,53376,2,
FLIR.OQ,FLIR SYSTEMS    ,30.93,31.025,-0.3062,15:3:10,Ok,RealTime,6048,8,
FLR.N,FLUOR CORP      ,51.01,50.97,-1.7338,15:2:42,Ok,RealTime,34160,2,
FLS.N,FLOWSERVE CP    ,49.64,49.24,-1.5665,15:1:25,Ok,RealTime,18144,1,
FMC.N,FMC CORP        ,50.5,49.52,-0.7859,15:2:43,Ok,RealTime,25888,2,
FOSL.OQ,FOSSIL GROUP INC,70.29,70.5,-0.2979,15:3:13,Ok,RealTime,57312,5,
FOXA.OQ,TWTY FT CNT FX A,34.01,33.66,1.0398,15:2:52,Ok,RealTime,53488,5,
FSLR.OQ,FIRST SOLAR     ,44.74,45.81,-2.3357,15:3:8,Ok,RealTime,5120,5,
FTI.N,FMC TECHNOLOGIS ,37.2,37.52,-0.9321,15:2:49,Ok,RealTime,24192,6,
FTR.OQ,FRONTIER COMM   ,4.895,4.93,-0.7099,15:1:48,Ok,RealTime,51632,1,
GAS.N,AGL RESOURCES   ,48.15,47.65,-0.1245,15:2:43,Ok,RealTime,15120,2,
GCI.N,GANNETT CO INC  ,13.32,13.37,0.9091,15:2:48,Ok,RealTime,17680,3,
GD.N,GENERAL DYNAMICS,147.44,146.07,0.3198,15:3:4,Ok,RealTime,20144,8,
GE.N,GENERAL ELEC CO ,26.715,26.39,0.2063,15:3:12,Ok,RealTime,19152,8,
GGP.N,GNRL GRTH PRO   ,26.54,26.38,0.3023,15:1:45,Ok,RealTime,12816,3,
GILD.OQ,GILEAD SCI      ,118.64,117.36,1.0907,15:3:12,Ok,RealTime,5552,17,
GIS.N,GENERAL MILLS   ,56.875,57.57,-0.655,15:2:1,Ok,RealTime,11824,2,
GLW.N,CORNING INC     ,19.2,18.86,-0.2597,15:3:0,Ok,RealTime,15376,2,
GM.N,GENERAL MOTORS  ,31.655,31.41,-0.362,15:3:2,Ok,RealTime,57664,5,
GMCR.OQ,KEURIG GREEN MOU,69.95,69.97,-0.0286,15:3:2,Ok,RealTime,43502,3,
GME.N,GAMESTOP CL A   ,46.6,47.15,-0.2782,15:2:53,Ok,RealTime,1168,2,
GNW.N,GENWORTH FINL   ,7.75,7.5,-0.1289,15:0:19,Ok,RealTime,18880,2,
GOOG.OQ,GOOGLE INC C    ,560.85,561.1,-0.0446,15:2:57,Ok,RealTime,11008,3,
GOOGL.OQ,GOOGLE INC A    ,583.44,584.18,-0.1267,15:2:46,Ok,RealTime,8928,1,
GPC.N,GENUINE PARTS CO,90.21,88.98,0,15:2:19,Ok,RealTime,51776,2,
GPS.N,GAP INC         ,37.71,37.7,-0.2381,15:3:1,Ok,RealTime,33120,1,
GRMN.OQ,GARMIN LTD      ,46.11,46.4,-0.625,15:2:57,Ok,RealTime,54832,2,
GS.N,GOLDM SACHS GRP ,212.47,209.66,0.1461,15:3:10,Ok,RealTime,16416,9,
GT.OQ,GODYR TIRE & RBR,29.97,30.29,-1.0565,15:2:57,Ok,RealTime,29664,2,
GWW.N,W W GRAINGER INC,231.44,236.15,-0.7845,15:2:59,Ok,RealTime,54640,3,
HAL.N,HALLIBURTON CO  ,42.11,41.2,-1.0573,15:2:37,Ok,RealTime,9120,4,
HAR.N,HARMAN INTL INDS,113.91,115.54,-0.9047,15:3:14,Ok,RealTime,30734,2,
HAS.OQ,HASBRO INC      ,78.43,78.69,-0.3304,15:2:57,Ok,RealTime,34864,1,
HBAN.OQ,HUNTGTN BKSHR   ,11.54,11.44,0.8741,14:58:38,Ok,RealTime,9808,1,
HBI.N,HANESBRANDS     ,34.16,33.68,-0.2628,15:3:10,Ok,RealTime,29424,6,
HCA.N,HCA HOLDINGS    ,93.58,94.13,-1.2035,15:2:25,Ok,RealTime,35728,4,
HCBK.OQ,HUDSON CITY BCP ,10.1,10.025,0.7481,15:2:28,Ok,RealTime,2096,2,
HCN.N,HEALTHCARE REIT ,67.83,69.16,-0.4403,15:3:12,Ok,RealTime,23904,10,
HCP.N,HCP INC         ,37.71,38.01,-0.2645,15:2:17,Ok,RealTime,10528,2,
HD.N,HOME DEPOT INC  ,115.48,114.56,0.104,15:3:6,Ok,RealTime,10176,2,
HES.N,HESS CORP       ,64.33,63.87,-0.3717,15:2:50,Ok,RealTime,59552,7,
HIG.N,HARTFORD FINL   ,46.52,43.76,1.7943,15:3:5,Ok,RealTime,18720,7,
HOG.N,HARLEY-DAVIDSON ,56.96,56.2,-1.1283,15:3:11,Ok,RealTime,64208,6,
HON.N,HONEYWELL INTL  ,104.32,103.59,0.2306,15:3:13,Ok,RealTime,20512,8,
HOT.N,STARWOOD HOTELS ,84.41,81.76,0.3209,15:3:12,Ok,RealTime,4544,5,
HP.N,HELMERICH PAYNE ,65.07,64.11,-1.3194,15:3:7,Ok,RealTime,7264,5,
HPQ.N,HEWLETT-PACKARD ,30.6,30.65,0.295,15:2:47,Ok,RealTime,39680,3,
HRB.N,H & R BLOCK INC ,31.45,31.5,0.2231,15:2:0,Ok,RealTime,38944,2,
HRL.N,HORMEL FOODS    ,57.91,57.64,-0.7541,15:1:51,Ok,RealTime,53584,2,
HRS.N,HARRIS CORP     ,81.32,79.91,0.656,15:2:37,Ok,RealTime,17504,3,
HSIC.OQ,HENRY SCHEIN    ,147.59,147.24,0.2377,15:1:15,Ok,RealTime,56272,1,
HSP.N,HOSPIRA         ,89.32,89.135,-0.0336,15:1:45,Ok,RealTime,56928,3,
HST.N,HOST HOTL&RES   ,21.05,20.81,0.6695,15:2:56,Ok,RealTime,43152,3,
HSY.N,HERSHEY CO      ,92.01,91.9,-0.4544,15:1:58,Ok,RealTime,63152,2,
HUM.N,HUMANA INC      ,187.47,187.4,0.7145,15:2:58,Ok,RealTime,496,2,
IBM.N,INTL BUS MACHINE,169.17,169.5,0.3321,15:2:55,Ok,RealTime,15248,3,
ICE.N,INTRCTNTL EXCHNG,228.685,229.41,0.3048,15:1:19,Ok,RealTime,28608,1,
IFF.N,INTL FLAV & FRAG,113.44,112.65,0.2474,15:0:15,Ok,RealTime,1168,4,
INTC.OQ,INTEL CORP      ,29.71,29.65,0.2024,15:3:7,Ok,RealTime,61696,9,
INTU.OQ,INTUIT INC      ,106.58,105.83,0.7087,15:3:9,Ok,RealTime,22608,2,
IP.N,INTNL PAPER CO  ,47.48,46.93,-0.5654,15:2:41,Ok,RealTime,60640,2,
IPG.N,INTERPBLIC GRP  ,19.88,19.79,-0.1507,15:2:59,Ok,RealTime,5088,6,
IR.N,INGERSOLL-RAND  ,67.33,67.36,-0.1779,15:2:43,Ok,RealTime,13104,1,
IRM.N,IRON MOUNTAIN   ,31.4,31.25,-0.3491,15:3:3,Ok,RealTime,63072,3,
ISRG.OQ,INTUITIVE SURG  ,492.65,491.95,0.1423,15:2:22,Ok,RealTime,9760,2,
ITW.N,ILLINOIS TOOL WK,93.81,93.45,-0.2446,15:2:57,Ok,RealTime,49920,5,
IVZ.N,INVESCO LTD     ,38.11,37.34,0.2895,15:3:1,Ok,RealTime,15968,2,
JCI.N,JOHNSON CONTROLS,49.09,49.03,-0.4462,15:2:38,Ok,RealTime,31024,3,
JEC.N,JACOBS ENGINEER ,40.49,40.66,-1.9613,15:2:57,Ok,RealTime,35840,7,
JNJ.N,JOHNSON JOHNSON ,100.8,100.12,1.0222,15:3:8,Ok,RealTime,14720,5,
JNPR.N,JUNIPER NETWRKS ,26.295,26.15,0.9018,15:2:30,Ok,RealTime,14912,1,
JOY.N,JOY GLOBAL INC  ,31.23,31.15,-1.077,15:3:4,Ok,RealTime,51472,1,
JPM.N,JPMORGAN CHASE  ,69.03,67.95,-0.0145,15:2:58,Ok,RealTime,19552,3,
