GENEOS Status Report,
Monday 20 Jul 2015 17:41:46,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.11,4.16,2109.01,15:2:59,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
CMCSA.OQ,COMCAST CORP A  ,63.39,63.24,0.2372,15:2:51,Ok,RealTime,25312,7,
CME.OQ,CME GROUP INC A ,97.5,97.22,0.288,15:2:51,Ok,RealTime,11056,3,
CMG.N,CHIPOTLE MX GRL ,662.099,654.37,1.0129,15:2:37,Ok,RealTime,27392,1,
CMI.N,CUMMINS INC     ,130.75,129.15,0.6776,15:2:49,Ok,RealTime,8864,7,
CMS.N,CMS ENERGY CORP ,33.66,33.76,-0.2962,15:2:57,Ok,RealTime,53776,6,
CNP.N,CENTERPOINT     ,19.22,19.15,-0.2077,15:1:25,Ok,RealTime,12336,3,
CNX.N,CONSOL ENERGY   ,19.66,19.35,-1.8472,15:2:35,Ok,RealTime,5408,1,
COF.N,CAP ONE FINAN   ,90.42,88.5,1.5727,15:2:51,Ok,RealTime,3408,8,
COG.N,CABOT OIL GAS   ,29.82,29.31,-0.2676,15:2:30,Ok,RealTime,29648,6,
COH.N,COACH           ,33.07,33.29,-1.0769,15:1:45,Ok,RealTime,20912,2,
COL.N,ROCKWELL COLL   ,93.65,92.55,0.3644,15:2:33,Ok,RealTime,46224,1,
COP.N,CONOCOPHILLIPS  ,59.36,58.81,-0.2856,15:2:55,Ok,RealTime,11344,14,
COST.OQ,COSTCO WHOLESAL ,143.25,143.93,-0.4725,15:2:38,Ok,RealTime,25536,1,
CPB.N,CAMPBELL SOUP CO,47.82,47.9,-0.6441,15:1:51,Ok,RealTime,24576,2,
CPGX.N,COLUMBA PPLN GRP,29.67,29.65,0.135,15:2:56,Ok,RealTime,18286,2,
CRM.N,SALESFORCE COM  ,72.08,71.12,0.404,15:2:55,Ok,RealTime,11840,10,
