GENEOS Status Report,
Monday 20 Jul 2015 17:41:41,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,CAD,14599.4,S&P/TSX COMP IDX,14684.56,85.16,14608.86,15:2:0,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
NPR_u.TO,NRTHRN PPTY U UN,22.95,22.06,1.1,15:0:26,Ok,RealTime,58368,1,
NSU.TO,NEVSUN RES LTD  ,4.62,4.49,0.43,14:54:54,Ok,RealTime,50656,3,
NVA.TO,NUVISTA ENERGY  ,6.45,6.03,-0.31,14:58:51,Ok,RealTime,60976,10,
NWC.TO,THE NORTH WEST  ,26.355,25.87,-0.06,15:2:30,Ok,RealTime,53022,1,
OCX.TO,ONEX CORP       ,70.29,67.99,0.36,15:2:8,Ok,RealTime,19248,7,
OGC.TO,OCEANAGOLD CORP ,2.95,2.9,-1.67,15:2:12,Ok,RealTime,20576,1,
OR.TO,OSISKO GOLD ROYA,15.37,15.81,-0.65,15:1:56,Ok,RealTime,58560,1,
OTC.TO,OPEN TEXT CORP  ,49.95,49.61,0.12,15:2:22,Ok,RealTime,7696,10,
P.TO,PRIMERO MINING  ,4.31,4.52,-2.71,15:1:54,Ok,RealTime,43440,1,
PAA.TO,PAN AM SILVER   ,10.03,10.03,-1.28,15:2:22,Ok,RealTime,656,6,
PD.TO,PRECISION DRILNG,7.75,7.33,0.39,15:2:5,Ok,RealTime,17072,3,
PEY.TO,PEYTO EXPLO DEVL,30.91,29.87,-0.1,15:2:22,Ok,RealTime,47536,3,
PGF.TO,PENGROWTH ENERGY,2.88,2.87,0.7,14:58:55,Ok,RealTime,54640,2,
PJCa.TO,JEAN COUTU A    ,20.02,20.18,-0.65,15:1:44,Ok,RealTime,10080,3,
PKI.TO,PARKLAND FUEL CO,24.54,23.88,0.16,15:2:32,Ok,RealTime,42656,4,
PLI.TO,PROMETIC LFE SCN,2.425,2.19,2.75,15:1:25,Ok,RealTime,10624,9,
POT.TO,POTASH CORP     ,37.55,36.5,0.91,15:2:22,Ok,RealTime,12080,20,
POU.TO,PARAMOUNT RES   ,26.76,26.29,-0.22,15:2:34,Ok,RealTime,43664,5,
POW.TO,POWER CORP CAN  ,32.35,31.61,0.97,15:2:21,Ok,RealTime,35280,8,
PPL.TO,PEMBINA PIPELINE,40.46,39.41,0.45,15:2:34,Ok,RealTime,32942,8,
PPY.TO,PAINTED PONY PET,7.795,7.11,1.5,15:0:6,Ok,RealTime,50976,3,
PRE.TO,PACIFIC RUBIALES,3.51,2.9,5.41,15:2:18,Ok,RealTime,30064,1,
PSG.TO,PERFORMANCE SPOR,24.59,23.72,0.04,14:58:28,Ok,RealTime,51968,3,
PSI.TO,PASON SYS       ,20.92,21.7,-0.57,14:59:35,Ok,RealTime,16032,1,
PSK.TO,PRAIRIESKY ROYAL,29.83,29.27,-0.03,15:0:27,Ok,RealTime,42240,1,
PVG.TO,PRETIUM RESOURCS,6.79,6.37,0.59,15:2:16,Ok,RealTime,17008,25,
PWF.TO,POWER FIN CORP  ,35.49,34.94,0.28,15:2:21,Ok,RealTime,5232,4,
PWT.TO,PENN WEST PETRLM,2.13,1.83,2.9,15:2:8,Ok,RealTime,29760,5,
PXT.TO,PAREX RESOURCES ,9.84,9.5,1.44,15:1:51,Ok,RealTime,49360,1,
QBRb.TO,QUEBECOR B      ,30.64,30.52,-0.39,14:58:16,Ok,RealTime,55952,1,
QSR.TO,RESTAURANTS BRND,51.37,49.25,0.33,15:2:20,Ok,RealTime,960,4,
RBA.TO,RITCHIE BROS    ,35.06,34.63,0.86,15:1:28,Ok,RealTime,48896,5,
RCIb.TO,ROGERS COMM B   ,44.74,43.64,1.08,15:2:33,Ok,RealTime,61184,42,
REF_u.TO,CAN REAL EST UN ,43,42.08,0.94,15:0:59,Ok,RealTime,48080,1,
REI_u.TO,RIOCAN REAL UN  ,27.57,27.27,-0.22,15:0:56,Ok,RealTime,17824,2,
RMP.TO,RMP ENERGY INC  ,2.15,2.06,3.37,15:1:35,Ok,RealTime,7552,1,
RON.TO,RONA INC        ,15.16,14.94,2.23,15:2:7,Ok,RealTime,34096,12,
RRX.TO,RAGING RIVER EXP,8.38,8.34,1.21,15:2:27,Ok,RealTime,65408,2,
RUS.TO,RUSSEL METALS   ,22.21,21.88,0.63,15:2:13,Ok,RealTime,57904,1,
RY.TO,ROYAL BK CAN    ,76.79,76.58,-0.14,15:2:20,Ok,RealTime,38624,27,
S.TO,SHERRITT INTL   ,1.78,1.79,0.56,14:56:8,Ok,RealTime,10816,1,
SAP.TO,SAPUTO INC      ,29.45,29.13,0.03,15:2:20,Ok,RealTime,30288,3,
SCL.TO,SHAWCOR LTD     ,34.34,34.8,-0.15,14:58:51,Ok,RealTime,55696,2,
SES.TO,SECURE ENRGY SER,12.57,12.15,0.16,15:2:26,Ok,RealTime,55376,74,
SGY.TO,SURGE ENERGY INC,3.16,3.16,-0.32,15:1:39,Ok,RealTime,45872,3,
SJRb.TO,SHAW COMM B     ,27.36,27.11,0.66,15:2:31,Ok,RealTime,34960,43,
SLF.TO,SUN LIFE FINL   ,42.64,41.87,0.68,15:2:23,Ok,RealTime,46880,14,
SLW.TO,SILVER WHEATON  ,18.8,19.17,-0.58,15:2:20,Ok,RealTime,1968,21,
SMF.TO,SEMAFO INC      ,3.08,3.14,-1.91,15:2:5,Ok,RealTime,16160,1,
SNC.TO,SNC LAVALIN     ,44.35,43.21,0.77,15:2:20,Ok,RealTime,64256,3,
SPB.TO,SUPERIOR PLS    ,12.79,12.47,0.63,15:1:36,Ok,RealTime,45920,4,
SSO.TO,SILVER STND RESC,7.77,7.76,-0.13,15:2:0,Ok,RealTime,9328,22,
STN.TO,STANTEC INC     ,37.58,36.07,0.21,15:2:13,Ok,RealTime,60944,4,
SU.TO,SUNCOR ENERGY   ,35.39,34,0.97,15:2:23,Ok,RealTime,2368,16,
SW.TO,SIERRA WIRELESS ,33.41,29.34,3.53,15:0:5,Ok,RealTime,14688,2,
T.TO,TELUS CORP      ,44.785,43.98,0.98,15:2:18,Ok,RealTime,12816,3,
TA.TO,TRANSALTA CORP  ,9.56,9.44,0,15:2:20,Ok,RealTime,26464,1,
TCKb.TO,TECK RESOURCES B,12.1,11.25,0.58,15:2:20,Ok,RealTime,19360,3,
TCLa.TO,TRANSCON A      ,14.85,14.78,0.2,14:57:52,Ok,RealTime,52352,1,
TCW.TO,TRICAN WELL SVC ,3.21,3.11,-0.62,14:59:43,Ok,RealTime,4944,3,
TD.TO,TORONTO DOM BK  ,52.32,52.36,0.31,15:1:57,Ok,RealTime,9248,13,
TDG.TO,TRINIDAD DRILING,3.84,3.84,-1.79,15:2:7,Ok,RealTime,29776,2,
TET.TO,TRILGY ENRG TRST,5.38,4.96,3.46,15:0:10,Ok,RealTime,36672,1,
TFI.TO,TRANSFORCE INC  ,25.84,25.97,-0.39,15:2:5,Ok,RealTime,4576,3,
THO.TO,TAHOE RESOURCES ,14.34,14.26,-1.65,15:2:31,Ok,RealTime,11808,18,
TIH.TO,TOROMONT INDS   ,32.02,31.62,0.28,15:0:22,Ok,RealTime,49440,1,
TOG.TO,TORC OIL & GAS  ,8.2,7.95,0.86,15:2:28,Ok,RealTime,23440,1,
TOU.TO,TOURMALINE OIL  ,36.37,35.88,-0.05,15:2:18,Ok,RealTime,9584,6,
TRI.TO,THOMSON REUTERS ,49.57,48.54,1.02,15:2:8,Ok,RealTime,50640,70,
TRP.TO,TRANSCAN CORP   ,51.45,49.96,1.54,15:2:20,Ok,RealTime,13504,18,
TRQ.TO,TURQUS HL RESRCS,4.59,4.48,0.44,15:1:40,Ok,RealTime,14192,2,
TXG.TO,TOREX GOLD      ,1.12,1.11,-1.75,15:2:1,Ok,RealTime,24736,4,
VET.TO,VERMILION ENERGY,48.77,49.17,-1.08,15:1:45,Ok,RealTime,32288,2,
VRX.TO,VALEANT PHAR INT,304.8,294.65,1.21,15:2:20,Ok,RealTime,8592,37,
VSN.TO,VERESEN         ,15.485,15.36,0.03,15:2:14,Ok,RealTime,65520,1,
WCP.TO,WHITECAP RESCS  ,12.29,11.95,-0.16,15:2:26,Ok,RealTime,26816,4,
WEF.TO,WESTERN FOREST  ,2.23,2.18,1.36,14:58:39,Ok,RealTime,57216,2,
WFT.TO,WEST FRASER     ,69.36,67.01,-0.06,15:2:25,Ok,RealTime,45056,20,
WJA.TO,WESTJET AIRLINE ,23.43,23.7,-0.85,15:2:32,Ok,RealTime,57104,33,
WN.TO,WESTON LTD      ,102.4,100.38,0.36,15:0:1,Ok,RealTime,62064,1,
WSP.TO,WSP GLOBAL INC  ,41.68,40.41,0.53,14:56:34,Ok,RealTime,28032,1,
WTE.TO,WESTSR TRMN INV ,30.3,29.06,3.95,15:2:20,Ok,RealTime,63824,32,
X.TO,TMX GROUP LIMITD,50.8,50.79,-0.24,14:59:25,Ok,RealTime,22320,3,
YRI.TO,YAMANA GOLD INC ,3.26,3.42,-2.1,15:1:53,Ok,RealTime,8752,1,
