GENEOS Status Report,
Monday 20 Jul 2015 17:38:00,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,3737.14,FTSE 350 INDEX  ,3738.61,1.47,3737.14,14:59:9,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
INF.L,INFORMA         ,561,555,-0.089,14:58:55,Ok,RealTime,60592,2,
INFII.L,INFINIS         ,144.45,143.5625,3.584,14:58:49,Ok,RealTime,13726,1,
INPP.L,INTER PUB PART  ,136.2,135.4,0.221,14:58:34,Ok,RealTime,45056,1,
INTUP.L,INTU PROPERTIES ,329.5,329.2,0.061,14:58:32,Ok,RealTime,36176,2,
INVP.L,INVESTEC        ,608,592.5,1.081,14:55:22,Ok,RealTime,46304,1,
IPF.L,INTER. PERS.    ,380.7,471.1,-0.079,14:59:7,Ok,RealTime,43584,61,
IPO.L,IP GROUP        ,201.3,199,-2.376,14:55:57,Ok,RealTime,11040,2,
IRV.L,INTERSERVE      ,647.5,632.5,1.888,14:58:49,Ok,RealTime,33744,2,
ISA.L,INMARSAT        ,949,925,1.66,14:57:39,Ok,RealTime,39552,1,
ITRK.L,INTERTEK GROUP  ,2373,2377.95,0.169,14:59:5,Ok,RealTime,816,22,
ITV.L,ITV             ,274.9,271.7526,-0.182,14:58:32,Ok,RealTime,41376,2,
JAM.L,JPM AMERICAN IT ,278,276,0.216,14:58:34,Ok,RealTime,64,5,
JD.L,JD SPORTS FASHN ,712,703.5,0.423,14:58:42,Ok,RealTime,27664,2,
JDW.L,WETHERSPOON J.D.,707,750,-8.301,14:58:38,Ok,RealTime,31200,2,
JE.L,JUST EAT        ,431.7375,406.9,3.278,14:58:33,Ok,RealTime,61440,1,
JLIF.L,JOHN LNG INF FD ,121.7,119.6,-0.082,14:58:34,Ok,RealTime,26448,2,
JLT.L,JARDINE LLOYD   ,1055,1037,0.19,14:58:35,Ok,RealTime,9296,1,
JMAT.L,JOHNSON MATTHEY ,2974,3045,-0.701,14:59:0,Ok,RealTime,27120,5,
JMG.L,JPM EMERGING MKT,598.5,600.5,0.251,14:58:35,Ok,RealTime,23776,1,
JRG.L,JUST RETIREMENT ,179.9,178.2,1.811,14:59:5,Ok,RealTime,54432,10,
JUP.L,JUPITER FUND MGT,446.1,445.868425,1.317,14:59:3,Ok,RealTime,27600,5,
KAZ.L,KAZ MINERALS    ,200.3,191.3,3.247,14:59:4,Ok,RealTime,4064,5,
KGF.L,KINGFISHER      ,364.9,352.0076,-0.027,14:58:56,Ok,RealTime,22896,1,
KIE.L,KIER GROUP      ,1438,1430.72,0.07,14:58:33,Ok,RealTime,25520,1,
KLR.L,KELLER GROUP    ,1079,1073,2.178,14:58:34,Ok,RealTime,22448,2,
KWE.L,KENNEDY WILSON  ,1134,1129,-0.088,14:55:26,Ok,RealTime,28144,1,
LAD.L,LADBROKES       ,127.7,127.5693,-1.542,14:58:17,Ok,RealTime,55104,2,
