GENEOS Status Report,
Monday 20 Jul 2015 17:39:13,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,NOK,689.88,OSE ALL SHARE GI,692.16,2.28,690.09,14:37:53,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
TEL.OL,TELENOR         ,182.4,178.6,0.44,14:25:15,Ok,RealTime,52624,316,
TGS.OL,TGS-NOPEC GEOPHY,177.4,172.1,-0.78,14:25:25,Ok,RealTime,59824,210,
THIN.OL,THIN FILM ELECTR,4.81,4.79,-0.41,14:25:23,Ok,RealTime,46112,16,
TIDE.OL,TIDE ASA        ,,,,,Ok,RealTime,1424,3,
TOM.OL,TOMRA SYSTEMS   ,67.75,70.75,-2.52,14:25:20,Ok,RealTime,50768,34,
TTSM.OL,TTS GROUP ASA   ,4.85,,0,10:17:21,Ok,RealTime,2704,3,
VARDIA.OL,VARDIA INSURANCE,1.29,1.34,-2.27,14:25:20,Ok,RealTime,16656,10,
VEI.OL,VEIDEKKE        ,92.5,91.5,0,14:25:3,Ok,RealTime,12320,64,
VVL.OL,VOSS VEKSEL LAND,120,120,0,7:58:48,Ok,RealTime,1296,3,
WBULK.OL,WESTERN BULK    ,3.6,3.47,0,13:32:55,Ok,RealTime,3936,1,
WEIFA.OL,WEIFA           ,0.84,0.83,2.44,14:25:18,Ok,RealTime,19936,4,
WRLT.OL,WENTWORTH RES LT,4.17,4.08,1.21,14:25:29,Ok,RealTime,10080,2,
WWASA.OL,WILH WILHELMSEN ,47.4,46.5,0.85,14:25:10,Ok,RealTime,45824,28,
WWI.OL,WILH.W.HOLDING A,170,165.5,0,14:25:16,Ok,RealTime,32720,18,
WWIB.OL,WILH.W.HOLDING B,164,163.5,-1.8,14:25:25,Ok,RealTime,62528,14,
XXLA.OL,XXL ASA         ,87.5,88,-1.41,14:25:4,Ok,RealTime,1104,2,
YAR.OL,YARA INTERNATION,406.3,409.5,0.74,14:25:4,Ok,RealTime,18800,2,
ZAL.OL,ZALARIS ASA     ,31.6,31.5,0.32,12:18:47,Ok,RealTime,3072,3,
